,번호,게시판,제목,닉네임,등록일,조회수,추천,반대
0,1029,자유게시판,관리자에 의해 차단된 글입니다.,총각김치,16:33,1929,113,5
1,1028,자유게시판,루프링 이제 팔아야 하나요???,시골고총각,16:33,1529,0,0
2,1027,자유게시판,루프링 호재관련내용 정리,제이씨투,16:31,2061,3,0
3,1026,자유게시판,게임스탑으로간 루프링 출신 메튜가,흑산도보랑이호지,16:23,1663,0,0
4,1025,자유게시판,2주안에 2000% 오를 종목 추천드림,롱스톤매수,16:12,2947,0,1
5,1024,자유게시판,저는 홀딩중이긴한데 샌드박스,일조남,14:54,2594,1,0
6,1023,손익인증 게..,이캐시 언제팔아야되나요?,코인입문20180331,14:48,2885,0,0
7,1022,자유게시판,나X된거같아형들 어떡해 손발떨려,태클걸지말어라,14:44,2406,2,0
8,1021,자유게시판,루프링 웬지,50억찍는나란남자~~,14:23,2153,0,0
9,1020,자유게시판,업비트 비캐똥 내일 9시 공지하면 달나라감?,흑우양성전략본부,13:48,2257,0,0
10,1019,손익인증 게..,코인 첫 입문과 동시 여유돈으로 매수(12/30 매도...,터질까?,13:37,1939,0,0
11,1018,자유게시판,아 죽고싶다 비캐똥때메 -800장,최고경영자,13:18,1759,0,0
12,1017,자유게시판,비캐똥 5배먹고 내림 (내린 이유),잡알트대왕,13:18,2837,1,0
13,1016,자유게시판,비깨똥 이 미친,써니키임,12:03,2392,0,0
14,1015,차트분석,비트 단기 차트 다음주 조심,Storj,11:31,1622,3,1
15,1014,코인정보,가상자산 세금제도 쉽게 정리 (꼭 보세요 심각합...,soajflaksalesmsek,11:04,6557,80,4
16,1013,코인정보,"xrp 소송관련 fincen 의 판단, 당시 합의문",코링코인,11:03,2918,8,0
17,1012,자유게시판,비캐똥 으로 와이프 샤넬사줌,구로X지털×지,10:13,3997,16,0
18,1011,손익인증 게..,"100불 시작, 1억 달성",ASU.OP,10:05,2450,3,0
19,1010,손익인증 게..,비캐똥 수익 나이따~~,루팡맨,09:49,3515,0,0
20,1009,자유게시판,코린이를 위한 코인별 별명 안내,한국천사,09:43,1611,0,0
21,1008,손익인증 게..,10억돌파 기념 첫 수익인정 해봅니다^^,델라구아다,09:32,3490,1,0
22,1007,자유게시판,필독]비캐똥 지금 9월 빅호재 때문 날라가는거야,4세대솔라나2025년$5.000,08:57,2350,1,1
23,1006,자유게시판,이사람 돈복터졌겠네,틱띠기장인,08:53,4004,0,0
24,1005,자유게시판,졸부됫다,얼음에콘트라,07:49,3536,2,0
25,1004,자유게시판,시드가 커야 되는 이유 ㅋ,풀매수때렸다,07:45,3802,0,0
26,1003,코인정보,김프와 비트코인의 가격,코잉뿌잉,07:44,6195,12,0
27,1002,자유게시판,내가 어제 비캐똥 이렇게 된다고 했제?,오늘간드아,07:32,2526,0,0
28,1001,자유게시판,비캐똥 어찌해야되 횽들?,도지10000원가즈아,07:15,2138,0,0
29,1000,자유게시판,아까 못참고 비캐똥 샀느데,2021년목표금액50억원,06:58,2420,0,0
30,999,자유게시판,9천만원 벌기 성공,이뎌려움,06:45,2582,2,0
31,998,손익인증 게..,비캐똥 빗썸에서 이캐시로 리브랜딩 이후...,나까모또삿갓이,06:44,2774,2,0
32,997,자유게시판,업빗 호구들을 위해 다시한번 말해준다,리니어컴프,05:22,1552,2,5
33,996,손익인증 게..,이캐시 두달 존버 결과,대꾸링,04:43,5736,2,0
34,995,자유게시판,이 정도면 먹여 살립니까? (조건있음),코스모스아톰,04:00,4302,2,0
35,994,자유게시판,아 이캐시 지린다,붕알큰타이거,03:01,2859,0,0
36,993,자유게시판,"한남더힐 소유 두나무 이석우, 61억 고급빌라 또 ...",부들부들들,02:48,2793,1,0
37,992,자유게시판,던프로토콜 바이낸스 상장 기원 1일차,DAWN_,02:24,3397,0,1
38,991,손익인증 게..,300%,asdfwqfqrfqw,01:57,3405,2,0
39,990,자유게시판,이정도면 비캐 잡은 이들,zxcv1asdf2,01:40,4056,5,1
40,989,자유게시판,업비트 이캐시 답변,워뇨띠뺨싸다구위아래로갈긴남자,01:21,2464,0,0
41,988,손익인증 게..,비캐똥 -> 이캐시 리브랜딩 익절,시보시보,01:19,4746,11,0
42,987,자유게시판,연말코인가격 예측표 개인적인견해,한강뷰부자,01:05,5688,2,2
43,986,자유게시판,비트코인캐시에이비씨(업비트)예언,귤귤디,01:01,1503,0,0
44,985,자유게시판,악으로 깡으로 버텨라,브아아아알,00:53,2479,1,0
45,984,자유게시판,어제 이캐시 9억갠가 들고있던친구 아직있냐?,트플,00:31,1655,0,0
46,983,자유게시판,바프 진짜 역대급이네,철수12,00:11,2882,0,0
47,982,코인정보,캐나다 - USDT 사용금지,코링코인,00:03,8030,3,0
48,981,코인정보,EOS는 기관이나 거물급 매집자가 없다,젖들어출렁이면쏜다,2021.08.28,12249,23,13
49,980,자유게시판,니들 지금 얼마나 긴장해야되는 상황인지 모르지?,2018어게인,2021.08.28,3357,1,0
50,979,손익인증 게..,저 아직 살아있어요. 좋은 꿈들 꾸세요.,굿모닝하와유,2021.08.28,2727,0,0
51,978,자유게시판,코인 졸업하고 싶은 형님들 집중!!!!!!!!!!!!!!!!...,바엄부,2021.08.28,2527,2,2
52,977,자유게시판,형들 루프링 뭔 일이야,Dkdodido,2021.08.28,6583,0,0
53,976,자유게시판,스트라티스 바이낸스에서 미친듯이매집,가즈아아앗악,2021.08.28,1948,1,3
54,975,자유게시판,나 이거 갖고있었음 얼마냐?,말만하면거짓말,2021.08.28,3095,1,0
55,974,자유게시판,눈 딱감고 존버하면 100%먹는 코인,노무기75,2021.08.28,3335,1,0
56,973,손익인증 게..,저 아직 살아있네요.,굿모닝하와유,2021.08.28,2473,0,0
57,972,코인정보,이딴걸 정보라고 쓰기에는 그렇지만 내 예상,라니아케아,2021.08.28,8725,19,4
58,971,자유게시판,아 코인판 들어올맛 안나네,코인인생줮망,2021.08.28,3284,2,1
59,970,자유게시판,루프링 미친정보 가져옴[1억짜리 정보],묻고더블루가,2021.08.28,2810,4,2
60,969,자유게시판,스트라티스는 전고점 넘어 10만원도 가능한 코인...,가즈아아앗악,2021.08.28,1731,0,0
61,968,자유게시판,와 루프링 저격하니까 다 달려드네 ㅋㅋ,코인오마카세,2021.08.28,1673,0,0
62,967,자유게시판,존버가 답인거 맞재?,재이천하,2021.08.28,1622,1,0
63,966,자유게시판,한소희 급 여자친구 사귀는법 존나쉽다,묻고더블루가,2021.08.28,2222,1,0
64,965,자유게시판,루프링 진짜는 ~,붕이붕이,2021.08.28,1916,0,0
65,964,자유게시판,메디블록에 3억투자했습니다,이사벨2,2021.08.28,1688,0,0
66,963,리플,오태민씨가 리플 제대로 후드려 팩트폭력했는데,툼스,2021.08.28,2186,0,3
67,962,자유게시판,형들 샌드박스 있자나,일조남,2021.08.28,2795,0,0
68,961,자유게시판,얘들아 이거 내일 출시한다,파이뇽,2021.08.28,8361,28,0
69,960,자유게시판,형들 나 좆된거 맞지...,대개문시바새키,2021.08.28,1826,0,0
70,959,자유게시판,29세 개백수저녁,H닭치킨,2021.08.28,1836,1,0
71,958,자유게시판,대출2500만2일차,약막,2021.08.28,2944,0,0
72,957,자유게시판,비캐똥 리브랜딩 늦게하면 더 조음,4세대솔라나2025년$5.000,2021.08.28,2482,1,0
73,956,차트분석,해시리본 분석9,흑개구리,2021.08.28,3727,24,0
74,955,자유게시판,나 비캐똥 안팔고그냥 이캐시 받을라고,구로X지털×지,2021.08.28,2111,0,0
75,954,자유게시판,업비트 비캐똥 리브랜딩 공지뜨면 고점 얼마로 봐?,김정은✠최고령도자,2021.08.28,2137,0,0
76,953,손익인증 게..,오늘 정리했다,콩이쿵,2021.08.28,4148,0,0
77,952,자유게시판,비캐똥 예상 가격 정확도 99퍼센트 (틀린적 없음),오늘간드아,2021.08.28,1664,3,0
78,951,코인정보,"랜 노이너 ""보유 중인 이더리움을 전부 솔라...",아직도잡알트를하는코린이가있어?,2021.08.28,8713,2,1
79,950,손익인증 게..,샌드박스 강승부,그레이스케일추종,2021.08.28,4318,0,0
80,949,자유게시판,하시벌.. 못참고 비캐똥 3억 매수,브아아아알,2021.08.28,1643,1,0
81,948,손익인증 게..,오늘 강남룸빵비 나왔다.,일런머스크,2021.08.28,6234,0,1
82,947,코인정보,bcha 얼마 까지 오를까? 1차 25 2차 70 흑우형들 ...,잊혀진전설,2021.08.28,6506,3,1
83,946,자유게시판,비캐똥 팔지마세여 아직~,맛집로드,2021.08.28,2310,1,0
84,945,자유게시판,루프링 지갑이 어떤내용일지과 관건인듯,토토가,2021.08.28,1537,0,0
85,944,자유게시판,루프링 트윗 내용,입대전1000만원,2021.08.28,1573,1,0
86,943,자유게시판,내일부터 알트 불장이라는 증거,댓글장인,2021.08.28,1657,0,0
87,942,자유게시판,다음 코베 상장 가능한 코인은?,BLUED,2021.08.28,18376,35,7
88,941,손익인증 게..,비캐똥 장기홀딩중 9개월째,풍년제과,2021.08.28,7537,3,1
89,940,자유게시판,저는 이만 코인판 떠나겠읍니다.!,코린이임,2021.08.28,2890,3,0
90,939,코인정보,"부테린,머스크 측근 합류.. 도지코인 재단 부활",godism,2021.08.28,8725,4,4
91,938,자유게시판,너희들 매매법 스타일좀 공유해줘,좋다싶었더만,2021.08.28,1784,0,0
92,937,자유게시판,이캐시 탈려는 사람 현재상황,97년생엉아,2021.08.28,3304,2,0
93,936,자유게시판,익절후 출금했습니다 2,기회는온다또,2021.08.28,2572,4,0
94,935,자유게시판,19) 여친이랑 관계 누가 잘못한거냐?,리플세대교체,2021.08.28,2518,0,1
95,934,손익인증 게..,혹시 뱅코르 저보다 평단 높게 물리신분 계신가요?,대출받았다,2021.08.28,2355,0,0
96,933,자유게시판,27살 2억생겼습니다..,wqdkqwkd,2021.08.28,3015,3,1
97,932,자유게시판,비추받을 글인가요..?,광주불나방,2021.08.28,1524,11,18
98,931,자유게시판,다음주에 진짜 재밌을거야^^,2018어게인,2021.08.28,2545,0,1
99,930,손익인증 게..,330>>>2150 만원까지 오래걸렸습니다 .....,최형배,2021.08.28,6277,0,0
100,929,자유게시판,업비트ㅋㅋㅋㅋ드뎌 공지뜸 입출금 정지,뚜비뚜비야,2021.08.28,3024,1,3
101,928,자유게시판,"엠블이 ""최악의 김치코인"" 중 하나인 ...",행운만몰려와,2021.08.28,2264,2,0
102,927,자유게시판,이더리움클래식 1억 무지성 풀매수,BSV100만원,2021.08.28,3046,1,0
103,926,자유게시판,내친구 비캐똥 5억 > 25억 됐네..,아이빌리브크립토,2021.08.28,2429,0,0
104,925,손익인증 게..,3만원이였던 내가,셀라룽,2021.08.28,6423,2,0
105,924,자유게시판,내가 2개월만 들고가려고 하는 코인 소개,놈욱이짱,2021.08.28,2592,0,3
106,923,자유게시판,9월3일이전에 현금화 필요,2021년까지만버틴다,2021.08.28,28730,57,15
107,922,자유게시판,코인 최대의 실수,고래펀치,2021.08.28,1723,0,0
108,921,코인정보,잘 나가는 ADA 때문에 피해 볼 암호화폐는? BCH EOS,사카모토나토시,2021.08.28,18676,17,3
109,920,코인정보,"피델리티, 2035년 비트코인 1억달러",너의여음,2021.08.28,3058,2,0
110,919,자유게시판,2~3일내에 경주마,청돌이,2021.08.28,2092,0,0
111,918,자유게시판,이쯤에서 다시보는 비트코인캐시 대표,한국천사,2021.08.28,1513,0,0
112,917,자유게시판,관리자에 의해 차단된 글입니다.,수익줄때챙기는마인드,2021.08.28,29260,50,7
113,916,자유게시판,ㄹㅍㄹ,펌핑탐지장치,2021.08.28,1855,3,0
114,915,손익인증 게..,형들 버거스왑 저점 잡긴했는데,짱짱트블이,2021.08.28,3019,0,0
115,914,자유게시판,비캐 무조건 떡상하는 이유! (근거첨부),개들의챈스,2021.08.28,4020,17,1
116,913,차트분석,이번 사이클의 최고점은 11월이 될 확률이 가장 높다,진리크,2021.08.28,4945,1,2
117,912,손익인증 게..,코린이 첫수익인증 6월500으로시작,두껍이00,2021.08.28,3513,0,0
118,911,손익인증 게..,에이다 수익 3243% 인증,염라대대왕,2021.08.28,6001,4,0
119,910,자유게시판,9월전 미리미리 타둬야할 코인,코인정보공유,2021.08.28,3297,3,0
120,909,손익인증 게..,5백에서 1억만들기 프로젝트,Brazzer,2021.08.28,3939,0,0
121,908,자유게시판,김용호 x쌔기 드디어 터질게 터졌네ㅋㅋ,어쩔수없는팟트랏슈,2021.08.28,2897,4,0
122,907,자유게시판,빗썸 상장에 진심이구나 ;;;,아자아자파이팅,2021.08.28,3860,2,0
123,906,코인정보,"""완벽한 탈중앙 비트코인 거래소 만들겠다&q...",한소희,2021.08.28,4441,3,0
124,905,자유게시판,잠자리할때 이런말하면 여자분이좋아한데,반등폭격기,2021.08.28,4035,1,0
125,904,자유게시판,형들 차 뭐 타?,X.X,2021.08.28,2782,0,0
126,903,코인정보,"피델리티 ""비트코인 2026년에 100만달러""",한소희,2021.08.28,5284,6,0
127,902,코인정보,비트 상승 신호 발생,초멘탈파괴자,2021.08.28,7090,5,3
128,901,자유게시판,너도 곧 차례가 오겠지,타빌로,2021.08.28,2451,1,0
129,900,리플,[리곧만] SEC 자기논리오류,네버에버,2021.08.28,2418,8,0
130,899,자유게시판,edcon 루프링 재단 ceo 정확한 발표 시간이다,안녕하시렵니까?,2021.08.28,2043,5,0
131,898,자유게시판,에라 모르겠다 비캐똥 2억 7천 매수,브아아아알,2021.08.28,1559,4,0
132,897,자유게시판,"8월, 손절왕의 현실",ScalpingKIM,2021.08.28,3677,28,0
133,896,손익인증 게..,에이다 십만원 가나요 ?,코인왕!,2021.08.28,8214,4,0
134,895,자유게시판,이오스 떡상 진짜 개미쳤다;;,은성수대통령,2021.08.28,3222,0,5
135,894,손익인증 게..,동생들아 30대에 이 정도 자산이면 부자야??,일런머스크,2021.08.28,10050,0,3
136,893,자유게시판,현금 관망러들은 지금이 씹공포 아니냐,로다주,2021.08.28,1762,5,0
137,892,자유게시판,9월 BTC장 역시 파멸적 상승 예상함.,뇌절,2021.08.28,1569,2,2
138,891,자유갤러리,빠져나올 수 있다 vs 그럴생각이 없다.,도도솔솔라라솔,2021.08.28,8794,3,1
139,890,자유게시판,(속보) 58살 노처녀 아침조진다.jyp,은성수대통령,2021.08.28,3035,0,1
140,889,자유게시판,오랜만에 글씁니당,서버개발장,2021.08.28,2883,21,2
141,888,자유게시판,천진반 입니다,비엔컴퍼니,2021.08.28,3859,2,0
142,887,코인정보,왠지 비트코인 ETF 승인 될 것 같다.,€€€￡€€€$$￥ββ,2021.08.28,9162,5,6
143,886,자유게시판,곧 확실하게 오르는 코인 두 가지 알려 줌.,파슝슝계란탁,2021.08.28,3016,1,0
144,885,자유게시판,소원 하나씩만 빌어봐. 내가 들어줄게,예비건물주님,2021.08.28,3156,0,0
145,884,자유게시판,해외이클 내가지금잘못본거야?,옵황,2021.08.28,2072,0,0
146,883,자유게시판,내일 코인 가격 적는다,시드5배,2021.08.28,1519,0,0
147,882,자유게시판,전 코인 졸업합니다 ㅎㅎ,비또고니,2021.08.28,2453,0,0
148,881,손익인증 게..,한강물 따뜻하냐?,일런머스크,2021.08.28,4548,0,1
149,880,코인정보,"페이코인, 피자알볼로와 제휴..80% 할인 진행","매도의달인(VTC,버트)",2021.08.28,4680,1,1
150,879,자유게시판,인생 한방이라고 배웠습니다. 트론 1.7억 태웠습...,아이콘1달러가즈아,2021.08.28,3439,0,0
151,878,자유게시판,내일 경주마 하나씩 적고가자,불타는경주마,2021.08.28,2915,0,0
152,877,자유게시판,루프링 발표가 게임스탑호재가 맞다면,어이거뭐지,2021.08.28,3129,0,1
153,876,자유게시판,싯팔 새우튀김 먹다 응급실옴ㅋㅋ,무소유레버108배도지스님,2021.08.28,2852,1,0
154,875,자유게시판,10년 전에 남자들 이런 머리 많이 했지,정인선,2021.08.28,3067,0,0
155,874,자유게시판,얘두라 내 에이다 평균 지린다,이올린,2021.08.28,2374,0,0
156,873,자유게시판,한국코인 사면 ㅈ되는겁니다,오늘은네가수고했어,2021.08.28,3669,2,0
157,872,자유게시판,오늘 부터 커피는 믹스만 먹는다,위믹스에전재산,2021.08.28,3681,3,0
158,871,자유게시판,좋은거 하나 가르쳐줄게,귀신두건,2021.08.28,1792,1,0
159,870,자유게시판,23살에 이정도 시드면 상위 몇퍼일까요?,완두콩자반,2021.08.28,3761,1,0
160,869,자유게시판,바프얘기많길레 찾아봤어,Mojave,2021.08.28,1979,1,0
161,868,자유게시판,바프 바이파이의 미래는?  사더라도 알고 사자,데이터쪼가리로똥닦기,2021.08.28,8268,46,3
162,867,자유게시판,한국코인 사면 ㅈ되는 겁니다,오늘은네가수고했어,2021.08.28,2193,0,2
163,866,자유게시판,선릉역 오토바이 사망사고 사진유출되서 봤는데,김라이,2021.08.28,3064,0,0
164,865,자유게시판,야 루프링 전우들아,50억찍는나란남자~~,2021.08.28,1705,0,0
165,864,자유게시판,대폭락전엔 항상 가짜상승나왔었다,진성숏쟁이,2021.08.28,2750,4,3
166,863,자유게시판,bj리듬타타 좆고수 ㄹㅇ 오늘 3000만원 벌었음;;,수익줄때챙기는마인드,2021.08.28,1568,0,0
167,862,자유게시판,이더리움 진짜로 긴장해야한다,떡상해주세요,2021.08.28,3376,1,0
168,861,자유게시판,한국코인 사면 안되는 이유,오늘은네가수고했어,2021.08.28,2729,3,0
169,860,코인정보,ADA 알론조 하드포크 이전 9/1 최종 테스트넷 출...,라이프포터,2021.08.28,14800,26,1
170,859,자유게시판,술 마셔서 한번더 말해 준다,지후야쫌,2021.08.28,2066,4,0
171,858,손익인증 게..,저 아직 살아있어요.,굿모닝하와유,2021.08.27,1770,0,1
172,857,자유게시판,와 ㅈ댔네?? 환희가득한걸떠나서,잘있어라고마웠다,2021.08.27,2666,2,0
173,856,자유게시판,"테이퍼링,연설 간단명료하게 요약해주자면 이거지",화으성갈끄으니카으엌,2021.08.27,12057,67,5
174,855,유머/감동,경찰이 뽑은 최악의 경찰 영화,100배레버리지,2021.08.27,3335,0,1
175,854,유머/감동,격투기에 체급이 필요한 이유,Singularity!!,2021.08.27,2688,1,0
176,853,자유게시판,에이다 다음은 솔라나다 솔라나 무조건 타놔라,제시코스톨라니,2021.08.27,1646,1,0
177,852,코인정보,파월 잭슨홀 미팅 발표완료 (정리),Handsel,2021.08.27,28172,96,2
178,851,손익인증 게..,오늘수익 그대로 날아갈듯..,굿모닝하와유,2021.08.27,3617,2,0
179,850,손익인증 게..,골로 갑니당,가야밀,2021.08.27,2738,0,0
180,849,자유게시판,이거루프링 앞뒤가않맞네 ㄷㄷ,Mojave,2021.08.27,1680,0,0
181,848,자유게시판,왁스 리브랜딩 씹호재 ㅡㅡ,아우놈,2021.08.27,2644,0,0
182,847,손익인증 게..,한달 500따리-> 3000따리,지존매수왕,2021.08.27,3247,0,1
